1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0.05
1937,0.1
1938,0.15
1939,0.25
1940,0.35
1941,0.45
1942,0.6
1943,0.8
1944,1.05
1945,1.45
1946,2
1947,2.9
1948,4.1
1949,5.4
1950,6.8
1951,8.3
1952,10
1953,11.75
1954,13.8
1955,16.05
1956,18.65
1957,21.65
1958,24.9
1959,28.4
1960,32.55
1961,37.2
1962,42.6
1963,48.8
1964,56.1
1965,64.4
1966,73.7
1967,84.1
1968,95.8
1969,108.95
1970,123.35
1971,139
1972,155.9
1973,174.55
1974,194.8
1975,215.55
1976,235.65
1977,254.8
1978,272.75
1979,289.8
1980,307.75
1981,324.2
1982,339.45
1983,355.8
1984,372.55
1985,390.8
1986,410.4
1987,430.15
1988,450.6
1989,469
1990,485.2
1991,496.65
1992,507.3
1993,515.1
1994,521.65
1995,527.2
1996,531.9
1997,535.45
1998,538.6
1999,540.8
2000,542.45
2001,543.55
2002,544
2003,544.15
2004,543.6
2005,542.8
2006,541.45
2007,539.6
2008,537.4
2009,534.82
2010,532.12
2011,529.57
2012,526.52
2013,524.37
2014,522.22
